# Glossary in tab-separated format -*- coding: utf-8 -*-
OFFWORLDERS	КРАЄХОДЦІ
Offworlders	Краєходці
player	гравець
Game Master	Майстер гри
GM	майстер
Character	Персонаж
PC	персонаж гравця
NPC	персонаж майстра
Non-Player Character	персонаж майстра
Player Character	персонаж гравця
Attribute	Атрибут
Health	Здоров'я
Ability	Талант
Success	Успіх
Complication	Ускладнення
miss	провал
Warrior	Вояка
Outlaw	Пройдисвіт
Geek	Технар
Psychic	Псіонік
damage	ушкодження
supply	припаси
Strength	Сила
Agility	Спритність
Intelligence	Інтелект
Willpower	Воля
roll the dice	кинути куби
roll the dice with	кинути куби додавши
First Aid	перша допомога
armor	захист
star map	зоряна мапа
faction	фракція
NPCs	персонажі майстра
PCs	персонажі гравців
Skill	Навичка
Skills	Навички
